Alloy ,Marangoni   ,Pool aspect ratio ,Richardson number,Volumetric energy density (J/mm^3),Surface tension force (N),Solidifaction time,Laser Power  (W),Scanning Speed,Hatch Spacing,Layer thickness,Beam Radius,Powder size,rpm,flow (l/min),Defect
SS316,1,1.00,3.94E-02,99.52,7.45E-05,2.00E-03,25,,150,0.1,0.04,36.6,1.6,5,1
SS316,1,1.00,1.54E-02,62.2,7.45E-05,1.25E-03,25,,150,0.1,0.04,36.6,1.6,5,1
SS317,1,1.00,8.12E-03,45.24,7.45E-05,9.09E-04,25,,150,0.1,0.04,36.6,1.6,5,1
SS318,1,1.00,5.01E-03,35.54,7.45E-05,7.14E-04,25,,150,0.1,0.04,36.6,1.6,5,1
SS319,22.1,1.03,1.53E+00,199.04,4.40E-04,2.10E-02,50,,150,0.1,0.04,36.6,1.6,5,1
SS320,31.4,1.33,7.98E-01,124.4,5.46E-04,1.63E-02,50,,150,0.1,0.04,36.6,1.6,5,1
SS321,33.9,1.37,1.74E-01,90.47,5.67E-04,1.18E-02,50,,150,0.1,0.04,36.6,1.6,5,1
SS322,30.9,1.59,7.46E-02,71.09,6.09E-04,1.04E-02,50,,150,0.1,0.04,36.6,1.6,5,1
SS323,39.8,2.82,2.38E-02,51.48,9.65E-04,9.24E-03,75,,150,0.1,0.04,36.6,1.6,5,1
SS324,38.1,2.91,1.57E-02,46.65,9.65E-04,8.38E-03,75,,150,0.1,0.04,36.6,1.6,5,1
SS325,146,2.21,5.50E-03,248.81,1.07E-03,3.45E-02,100,,150,0.1,0.04,36.6,1.6,5,0
SS326,145,2.68,6.15E-03,180.95,1.17E-03,2.80E-02,100,,150,0.1,0.04,36.6,1.6,5,0
SS327,73.9,3.10,3.28E-01,68.64,1.14E-03,1.09E-02,100,,150,0.1,0.04,36.6,1.6,5,1
SS328,72.9,3.34,1.26E-01,62.2,1.22E-03,1.07E-02,100,,150,0.1,0.04,36.6,1.6,5,1
SS329,276,2.85,2.69E-03,311.01,1.60E-03,5.28E-02,125,320,150,0.1,0.04,36.6,1.6,5,0
SS330,255,2.73,2.80E-03,226.19,1.35E-03,3.10E-02,125,110,150,0.1,0.04,36.6,1.6,5,0
SS331,191,3.10,4.60E-03,177.72,1.34E-03,2.55E-02,125,140,150,0.1,0.04,36.6,1.6,5,0
SS332,117,3.55,1.03E-01,85.8,1.34E-03,1.29E-02,125,290,150,0.1,0.04,36.6,1.6,5,1
Inconel 718,393,5.66,4.05E-04,38.22,1.36E-03,7.50E-03,120,,150,0.1,0.04,36.6,1.6,5,1
Inconel 719,268,6.38,3.10E-03,25.48,1.32E-03,5.00E-03,120,,150,0.1,0.04,36.6,1.6,5,1
Inconel 720,181,7.32,1.63E-02,19.11,1.29E-03,3.75E-03,120,,150,0.1,0.04,36.6,1.6,5,1
Inconel 721,146,7.69,2.35E-03,15.29,1.29E-03,3.00E-03,120,,150,0.1,0.04,36.6,1.6,5,1
Inconel 722,93.4,8.06,4.01E-04,12.74,1.23E-03,2.42E-03,120,,150,0.1,0.04,36.6,1.6,5,1
Inconel 723,73.4,8.48,2.05E-04,10.92,1.19E-03,2.00E-03,120,,150,0.1,0.04,36.6,1.6,5,1
Inconel 724,870,6.72,2.04E-04,54.14,1.92E-03,1.08E-02,170,,150,0.1,0.04,36.6,1.6,5,0
Inconel 725,654,7.5,3.39E-04,36.09,1.86E-03,7.00E-03,170,,150,0.1,0.04,36.6,1.6,5,0
Inconel 726,493,8.4,9.30E-04,27.07,1.83E-03,5.25E-03,170,,150,0.1,0.04,36.6,1.6,5,1
Inconel 727,323,9.32,1.51E-02,21.66,1.74E-03,4.10E-03,170,,150,0.1,0.04,36.6,1.6,5,1
Inconel 728,270,10,2.62E-03,18.05,1.74E-03,3.42E-03,170,,150,0.1,0.04,36.6,1.6,5,1
Inconel 729,195,10,8.78E-04,15.47,1.68E-03,2.86E-03,170,,150,0.1,0.04,36.6,1.6,5,1
Inconel 730,998,8.05,1.83E-04,46.71,2.15E-03,8.18E-03,220,,150,0.1,0.04,36.6,1.6,5,0
Inconel 731,780,8.59,3.09E-04,35.03,2.09E-03,6.01E-03,220,,150,0.1,0.04,36.6,1.6,5,0
Inconel 732,609,9.62,7.91E-04,28.03,2.06E-03,4.81E-03,220,,150,0.1,0.04,36.6,1.6,5,1
Inconel 733,465,10.02,3.93E-03,23.35,2.00E-03,3.93E-03,220,,150,0.1,0.04,36.6,1.6,5,1
Inconel 734,414,12.48,2.06E-02,20.02,2.30E-03,3.92E-03,220,,150,0.1,0.04,36.6,1.6,5,1
Inconel 735,885,11.57,3.16E-04,34.39,2.73E-03,6.48E-03,270,,150,0.1,0.04,36.6,1.6,5,0
Inconel 736,709,12.23,8.57E-04,28.66,2.71E-03,5.40E-03,270,,150,0.1,0.04,36.6,1.6,5,1
Inconel 737,637,12.76,3.59E-03,24.57,2.67E-03,4.56E-03,270,,150,0.1,0.04,36.6,1.6,5,1
